,경찰서,위도,경도,주소,구
0,서울중부경찰서,126.9895796,37.5636465,대한민국 서울특별시 중구 을지로동 수표로 27,중구
1,서울종로경찰서,126.9848674,37.5755578,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46,종로구
2,서울남대문경찰서,126.9734981,37.5547584,대한민국 서울특별시 중구 남대문로5가 한강대로 410,중구
3,서울서대문경찰서,126.9667762,37.5647848,대한민국 서울특별시 서대문구 미근동 통일로 113,서대문구
4,서울혜화경찰서,126.9988562,37.5718401,대한민국 서울특별시 종로구 종로1.2.3.4가동 창경궁로 112-16,종로구
5,서울용산경찰서,126.966055,37.538649,대한민국 서울특별시 용산구 원효로1가 25,용산구
6,서울성북경찰서,127.0161318,37.5897271,대한민국 서울특별시 성북구 삼선동5가 301,성북구
7,서울동대문경찰서,127.0457679,37.58506149999999,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29,동대문구
8,서울마포경찰서,126.954028,37.550814,대한민국 서울특별시 마포구 아현동 618-1,마포구
9,서울영등포경찰서,126.901006,37.5257884,대한민국 서울특별시 영등포구 당산동3가 2-11,영등포구
10,서울성동경찰서,127.0363806,37.5617309,대한민국 서울특별시 성동구 행당1동 왕십리광장로 9,성동구
11,서울동작경찰서,126.9428078,37.5130685,대한민국 서울특별시 동작구 노량진동 72,동작구
12,서울광진경찰서,127.083821,37.542873,대한민국 서울특별시 광진구 구의1동 자양로 167,광진구
13,서울서부경찰서,126.9274951,37.6128611,대한민국 서울특별시 은평구 대조동 통일로 757,은평구
14,서울강북경찰서,127.0273238,37.6373881,대한민국 서울특별시 강북구 번1동 415-15,강북구
15,서울금천경찰서,126.9099508,37.4814051,대한민국 서울특별시 관악구 신림동 544,관악구
16,서울중랑경찰서,127.1047136,37.618692,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10,중랑구
17,서울강남경찰서,127.0669578,37.5094352,대한민국 서울특별시 강남구 대치동 998,강남구
18,서울관악경찰서,126.9509748,37.4743789,대한민국 서울특별시 관악구 봉천동,관악구
19,서울강서경찰서,126.8299968,37.5397827,대한민국 서울특별시 양천구 신월동 화곡로 73,양천구
20,서울강동경찰서,127.1268224,37.528511,대한민국 서울특별시 강동구 성내1동 성내로 57,강동구
21,서울종암경찰서,127.0321577,37.6020592,대한민국 서울특별시 성북구 종암동 종암로 135,성북구
22,서울구로경찰서,126.886731,37.494931,대한민국 서울특별시 구로구 가마산로 235,구로구
23,서울서초경찰서,127.0052504,37.4956054,대한민국 서울특별시 서초구 서초3동 반포대로 179,서초구
24,서울양천경찰서,126.8656763,37.5165667,대한민국 서울특별시 양천구 신정6동 목동동로 99,양천구
25,서울송파경찰서,127.1271513,37.5019065,대한민국 서울특별시 송파구 가락본동 9,송파구
26,서울노원경찰서,127.0714027,37.6423605,대한민국 서울특별시 노원구 하계동 노원로 283,노원구
27,서울방배경찰서,126.9829992,37.4815453,대한민국 서울특별시 서초구 방배2동 방배천로 54,서초구
28,서울은평경찰서,126.9287226,37.6283597,대한민국 서울특별시 은평구 불광2동 연서로 365,은평구
29,서울도봉경찰서,127.052682,37.6533589,대한민국 서울특별시 도봉구 창4동 노해로 403,도봉구
30,서울수서경찰서,127.0772119,37.49349,대한민국 서울특별시 강남구 개포동 개포로 617,강남구
